  x      sigx     y      sigy  
-11.3720 0.0773 -11.2060 0.0916 
-11.5392 0.0801 -11.1358 0.0811 
-11.3504 0.0932 -10.7226 0.1799 
-11.6768 0.0721 -11.1400 0.0985 
-11.7602 0.0696 -11.0807 0.0967 
-11.8649 0.0683 -11.1181 0.0912 
-11.9750 0.0678 -11.1372 0.0883 
-12.0765 0.0679 -11.1806 0.0905 
-10.9215 0.0681 -10.7897 0.0837 
-10.9777 0.0678 -10.7647 0.0689 
-11.0626 0.0683 -10.7609 0.0541 
-11.1353 0.0693 -10.7414 0.0499 
-11.2172 0.0703 -10.7295 0.0433 
-11.2923 0.0711 -10.7265 0.0420 
-11.3630 0.0719 -10.7189 0.0437 
-11.4361 0.0725 -10.7129 0.0433 
-11.5037 0.0730 -10.7055 0.0453 
-11.5717 0.0733 -10.7153 0.0510 
-11.6365 0.0735 -10.7229 0.0567 
-11.6993 0.0737 -10.7537 0.0655 
-11.7595 0.0737 -10.7957 0.0678 
-11.8182 0.0737 -10.8298 0.0665 
-11.0425 0.0679 -10.4323 0.1625 
-11.0483 0.0686 -10.4744 0.1624 
-11.0749 0.0690 -10.5142 0.1625 
-11.2748 0.0770 -10.8161 0.0446 
-11.3509 0.0679 -10.7378 0.0374 
-11.3923 0.0698 -10.7132 0.0334 
-11.4461 0.0733 -10.7179 0.0322 
-11.4723 0.0765 -10.7141 0.0312 
-11.4858 0.0789 -10.7298 0.0311 
-11.5355 0.0800 -10.7548 0.0311 
-11.6102 0.0805 -10.7852 0.0314 
-11.6860 0.0807 -10.8170 0.0327 
-11.7618 0.0808 -10.8726 0.0334 
-11.8345 0.0809 -10.9456 0.0396 
-10.9883 0.0700 -10.7551 0.1637 
-10.9694 0.0686 -10.7603 0.1578 
-10.9788 0.0679 -10.7925 0.1583 
-11.0106 0.0678 -10.8103 0.1581 
-11.0522 0.0681 -10.8076 0.1619 
-11.0881 0.0686 -10.8196 0.1562 
-11.1263 0.0690 -10.8138 0.1526 
-11.1635 0.0698 -10.7974 0.1457 
-11.1971 0.0707 -10.7933 0.1438 
-11.2298 0.0718 -10.8050 0.1447 
-11.2561 0.0727 -10.8066 0.1434 
-11.2795 0.0736 -10.7978 0.1423 
-11.2969 0.0746 -10.7959 0.1425 
-11.3082 0.0756 -10.8118 0.1426 
-11.3176 0.0766 -10.8191 0.1427 
-11.3325 0.0773 -10.8286 0.1427 
-11.3450 0.0780 -10.8502 0.1444 
-11.3662 0.0785 -10.8516 0.1451 
-11.3895 0.0789 -10.8577 0.1422 
-11.4256 0.0790 -10.8528 0.1474 
-11.4644 0.0790 -10.8808 0.1448 
-11.5065 0.0790 -10.8990 0.1420 
-11.5487 0.0789 -10.9194 0.1420 
-11.5904 0.0788 -10.9336 0.1421 
-11.6287 0.0787 -10.9569 0.1418 
-11.6702 0.0786 -10.9751 0.1425 
-10.7878 0.0731 -10.6647 0.0703 
-10.8630 0.0719 -10.6520 0.0678 
-10.9696 0.0712 -10.5868 0.0575 
-11.0006 0.0716 -10.5163 0.0555 
-11.0588 0.0719 -10.4484 0.0549 
-11.1179 0.0722 -10.5033 0.0582 
-11.1795 0.0719 -10.5303 0.0618 
-11.2307 0.0719 -10.5780 0.0646 
-11.2849 0.0726 -10.6722 0.0681 
-11.3855 0.0685 -10.7610 0.1420 
-11.3757 0.0686 -10.7357 0.1396 
-11.3881 0.0714 -10.8020 0.1395 
-11.4225 0.0733 -10.8484 0.1395 
-11.4918 0.0748 -10.9180 0.1397 
-11.5895 0.0756 -10.9677 0.1399 
-11.7080 0.0755 -10.9927 0.1393 
-10.4529 0.1057 -10.2592 0.1276 
-10.4756 0.1058 -10.1912 0.1220 
-10.5448 0.1060 -10.1146 0.1186 
-10.6031 0.1062 -10.1125 0.1196 
-10.6160 0.1061 -10.0503 0.1248 
-10.6114 0.1055 -10.0541 0.1144 
-10.5787 0.1037 -10.0355 0.1120 
-10.5416 0.1012 -10.0667 0.1109 
-10.5603 0.0980 -10.0948 0.1102 
-10.6056 0.0946 -10.1291 0.1100 
-10.6718 0.0918 -10.1712 0.1100 
-10.7362 0.0901 -10.2104 0.1099 
-10.6247 0.1092 -10.2043 0.1492 
-10.5102 0.1088 -10.2056 0.1401 
-10.4707 0.1071 -10.0928 0.1382 
-10.6183 0.1000 -10.1091 0.1347 
-10.6348 0.0956 -10.1518 0.1348 
-10.6500 0.0918 -10.1333 0.1337 
-10.6720 0.0896 -10.0881 0.1388 
-10.7672 0.0846 -10.1655 0.1355 
-10.8607 0.0805 -10.1963 0.1320 
-10.9431 0.0767 -10.2556 0.1320 
-10.9861 0.0736 -10.2930 0.1320 
-11.0133 0.0704 -10.3267 0.1320 
-11.0495 0.0690 -10.3573 0.1322 
-11.1316 0.0689 -10.3848 0.1360 
-11.1570 0.0748 -10.3794 0.1742 
-10.9873 0.0683 -10.2803 0.1688 
-11.0201 0.0696 -10.2411 0.1736 
-11.0838 0.0727 -10.3018 0.1532 
-11.1694 0.0753 -10.3280 0.1588 
-11.4677 0.0763 -10.4195 0.1530 
-9.8622 0.1086 -10.0980 0.0933 
-9.9548 0.1086 -9.8324 0.0723 
-9.9970 0.1086 -9.7941 0.0692 
-9.9906 0.1086 -9.5995 0.0683 
-9.9545 0.1086 -9.5400 0.0672 
-9.9394 0.1086 -9.5329 0.0669 
-9.9517 0.1086 -9.5127 0.0677 
-9.9515 0.1086 -9.5137 0.0659 
-9.9672 0.1086 -9.5714 0.0715 
-9.9929 0.1086 -9.5880 0.0666 
-10.0307 0.1086 -9.6350 0.0867 
-10.0703 0.1085 -9.6879 0.0793 
-10.1092 0.1079 -9.7216 0.0752 
-10.1693 0.1070 -9.7558 0.0739 
-10.2145 0.1053 -9.7893 0.0711 
-10.2453 0.1052 -9.8257 0.0716 
-10.2781 0.1039 -9.8616 0.0700 
-10.3332 0.1022 -9.8922 0.0682 
-10.3863 0.1014 -9.9334 0.0693 
-10.4471 0.1018 -9.9604 0.0693 
-10.5037 0.1007 -9.9886 0.0727 
-10.5463 0.0976 -10.0142 0.0769 
-10.5848 0.0940 -10.0286 0.0788 
-10.6282 0.0925 -10.0311 0.0695 
-10.6655 0.0909 -10.0480 0.0686 
-10.7072 0.0903 -10.0704 0.0688 
-10.7471 0.0898 -10.1030 0.0706 
-10.7816 0.0892 -10.1285 0.0700 
-11.4555 0.0688 -10.5554 0.1487 
-11.4455 0.0705 -10.5770 0.1354 
-11.4679 0.0734 -10.5946 0.1386 
-11.1571 0.1078 -10.7262 0.1926 
-11.0924 0.1075 -10.3854 0.2020 
-11.1003 0.1039 -10.3213 0.1970 
-11.1226 0.1013 -10.3343 0.1965 
-11.1240 0.0999 -10.3570 0.1972 
-11.1390 0.0735 -10.5187 0.1938 
-11.2503 0.0682 -10.5555 0.2051 
-11.0898 0.1086 -10.0662 0.1963 
-11.1007 0.1067 -10.0983 0.1946 
-11.1431 0.0991 -10.1292 0.1924 
-11.1928 0.0950 -10.1595 0.1919 
-9.8789 0.1083 -10.1091 0.1069 
-10.0385 0.1081 -10.1777 0.1009 
-10.2617 0.1076 -10.1620 0.1160 
-10.3319 0.1075 -10.1868 0.1211 
-10.5336 0.1067 -10.1255 0.0935 
