  e      x 
0.914   -11.628 
0.193   -11.412 
0.082   -11.960 
-0.224   -11.657 
0.079   -11.103 
0.054   -11.683 
-0.121   -11.557 
-0.423   -11.082 
0.060   -11.529 
-0.110   -10.555 
-0.126   -11.025 
-0.203   -11.127 
-0.111   -10.563 
0.228   -11.692 
0.379   -11.138 
-0.044   -11.435 
-0.126   -11.014 
0.457   -11.366 
0.264   -11.232 
-0.879   -11.131 
0.398   -11.480 
0.223   -11.174 
0.827   -11.129 
0.070   -11.388 
0.139   -11.387 
0.144   -11.611 
0.437   -10.380 
0.512   -11.419 
-0.018   -10.974 
0.116   -11.391 
-0.245   -11.309 
0.405   -11.112 
0.194   -11.613 
-0.038   -11.484 
0.315   -10.764 
-0.360   -10.410 
-0.135   -11.669 
0.162   -11.011 
0.035   -11.501 
0.206   -11.138 
-0.044   -11.031 
0.065   -11.288 
-0.104   -11.653 
0.101   -10.503 
0.775   -10.263 
0.257   -10.807 
0.011   -11.535 
0.036   -11.479 
-0.425   -10.305 
-0.035   -11.039 
-0.032   -11.943 
0.042   -11.674 
0.536   -10.209 
-0.051   -10.664 
0.236   -10.824 
-0.220   -10.017 
0.846   -10.088 
-0.285   -10.544 
0.234   -10.739 
-0.163   -10.713 
-0.070   -11.100 
0.718   -10.212 
0.636   -11.195 
-0.595   -10.171 
0.054   -10.614 
0.222   -10.922 
0.266   -10.719 
-0.076   -10.868 
0.203   -11.299 
-0.094   -11.332 
-0.351   -10.613 
0.046   -11.127 
-0.295   -9.814 
0.250   -11.302 
0.070   -11.352 
0.126   -10.100 
-0.087   -11.262 
0.204   -10.996 
0.337   -10.645 
-0.230   -10.916 
-0.115   -10.463 
0.021   -11.607 
-0.055   -10.924 
-0.659   -10.599 
0.119   -10.842 
-0.225   -10.776 
0.444   -10.956 
-0.339   -10.552 
0.063   -11.735 
0.138   -10.884 
0.061   -11.171 
-0.238   -11.325 
-0.215   -11.241 
0.772   -11.692 
0.038   -11.407 
0.708   -11.160 
0.389   -11.127 
0.193   -10.945 
0.018   -10.968 
0.427   -10.784 
-0.014   -11.160 
-0.048   -10.780 
0.074   -10.793 
-0.114   -11.315 
-0.331   -10.944 
0.673   -10.696 
0.311   -11.306 
0.219   -11.181 
0.207   -11.640 
0.055   -11.249 
0.108   -10.999 
0.182   -11.573 
0.168   -11.399 
0.276   -11.405 
0.500   -11.264 
0.028   -11.210 
0.058   -11.556 
-0.077   -11.151 
0.035   -11.253 
-0.017   -11.073 
0.299   -11.360 
-0.139   -11.033 
0.810   -11.259 
-0.267   -11.290 
-0.130   -11.190 
-0.028   -11.251 
-0.022   -10.964 
0.044   -10.751 
0.444   -11.170 
0.159   -11.200 
0.169   -11.241 
0.197   -11.476 
0.372   -10.874 
-0.135   -10.628 
0.436   -11.152 
0.248   -10.838 
-0.090   -11.092 
0.321   -11.219 
0.411   -11.404 
0.817   -11.731 
-0.134   -11.287 
0.349   -11.481 
0.421   -10.962 
0.413   -11.398 
0.067   -11.134 
0.081   -11.587 
-0.003   -11.384 
-0.051   -10.845 
0.435   -11.283 
-0.108   -11.087 
0.029   -11.229 
0.725   -11.361 
0.537   -11.123 
-0.092   -10.654 
0.753   -10.891 
-0.035   -11.302 
-0.954   -9.849 
0.446   -10.940 
0.426   -11.399 
0.220   -11.419 
-0.134   -11.398 
0.092   -11.562 
